index,tag,,Categories,Operator,Address,Area Covered,Phone #,Main Web address,2nd web address,Email addresses,Information,Opening times,,,,,,,,,,
add,drug,,Drug & Alcohol Helplines & websites,FRANK  see DAAT,,Naitonwide,0300 123 6600,www.talktofrank.com,,,Drug & Alcohol Helpline & website,,,,,,,,,,,
add,drug,,Drug & Alcohol Helplines & websites,Narcotics Anonymous,,Naitonwide,0300 999 1212,www.recoveryrepublic.co.uk,,,Drug & Alcohol Helpline & website,,,,,,,,22 = Debt problems,,,
add,drug,,Drug & Alcohol Helplines & websites,Alcoholics Anonymous,,Naitonwide,0845 7697 555,"www.alcoholics-anonymous/,org,uk",,,Drug & Alcohol Helpline & website,,,,,,,,,Rent,,
add,drug,,Drug & Alcohol Helplines & websites,Rochdale Health & Wellbeing,SEE Renaissance Community drug & Alcohol Outreach Team,"Heywood, Middleton & Rochdale",01706 924 883,www.rochdale.gov.uk/health-and-wellbeing/,,,Drug & Alcohol,,,,,,,,,,,
add,drug,,Drug & Alcohol Outreach Team,Renaissance,Renaissance Hse  72 Drake St  Rochdale,"Heywood, Middleton & Rochdale",01706 924 883,,,,,Mon - Fri 9 til 4,,,,,,,,,,
add,drug,,Drug and alcohol Treatment,Renaissance,Renaissance Hse  72 Drake St  Rochdale,"Heywood, Middleton & Rochdale",01076 924 883,,,,,,,,,,,,,,,
add,drug,,Drug Problems,Early Break Holding Family Project,Water St off Drake St  Rochdale,"Heywood, Middleton & Rochdale",0161 723 3880,www.earlybreak.co.uk,,info@earlybreak.co.uk,For all the family,,,,,,,,,,,
add,drug,,Drug Problems,Narcoltics Anonymous,,Naitonwide,0300 999 1212,www.recoveryrepublic.co.uk,,,,,,,,,,,,,,
add,drug,,Drug Problems,Narcoltics Anonymous,High Level Great George St  Drake St Rochdale,"Heywood, Middleton & Rochdale",01706 660 247,,,,,Mon & Thu @ 7.30pm,,,,,,,,,,
add,drug,,Drug Problems,Narcoltics Anonymous,Recovery Republic 63 - 65 York Street Heywood,"Heywood, Middleton & Rochdale",01706 622 722,www.recoveryrepublic.co.uk,,,,Wed @ 7.30pm,,,,,,,,,,
add,drug,,Drug Problems,Narcoltics Anonymous,Rochdale Comm Fire Stn Halifax Rd,"Heywood, Middleton & Rochdale",0161 909 8626,,,,,Sat @ 7.30pm,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"ADFRAM 3rd Fl.  Riverside One, Smith St. Rochdale.  OL16 1XU","Heywood, Middleton & Rochdale",01076 924 854,www.adfarm.org.uk,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"RELEASE 3rd Fl  Riverside One, Smith Street, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.release.org.uk,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"Alcohol Learning Centre 3rd Fl. Riverside One, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.alcohollearningcentre.org.uk,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"DRUGS LINE 3rd Fl.  Riverside One, Rochdale  OL16 1XU","Heywood, Middleton & Rochdale",01076 924 854,www.drugsline.org,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"DRINKAWARE 3rd Fl  Riverside One, Rochdale OL16 1XU","Heywood, Middleton & Rochdale",01076 924 854,www.drinkaware/co.uk,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"NHS 3rd Fl Riverside One, Smith Street, Rochdale OL16 1XU","Heywood, Middleton & Rochdale",01076 924 854,www.nhs.uk/livewell/drugs,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"Drinking with Charlie  3rd Fl. Riverside One, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.drinkingwithcharlie.co.uk,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"Drinking & Drugs News  3rd Fl. Riverside One, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.drinkinganddrugsnews.com,,,,,,,,,,,,Money problems,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"5 ways to Wellbeing  3rd Fl.  Riverside One, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.fivewaystowellbeing.org,,,,,,,,,,,,Homelessness,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,Alcoholics Anonymous  See Mutial Aid for more info,"Heywood, Middleton & Rochdale",0845 769 7555,www.alcoholics-anonymous.org.uk,,,,,,,,,,,,Gambling,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"UKNA    3rd Fl  Riverside One, Smith Street, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.ukna.org,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"Re-Solv   3rd Fl.  Riverside One, Smith Street, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.re-solv.org.uk,,,,,,,,,,,,,,
add,drug,,Drugs & Alcohol Action Team ( Rochdale ),DAAT Drug Alcohol Action Team,"SMART RECOVERY 3rd Fl  Riverside One, Rochdale","Heywood, Middleton & Rochdale",01076 924 854,www.smartrecovery.org,,,,,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Concerned Others Group,,"Heywood, Middleton & Rochdale",01706 751 175,,,,,,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Concerned Others Group,14 St Chads Crt School Ln Rochdale,"Heywood, Middleton & Rochdale",01706 676 500,,,,,Every Wed 5.30 til 7pm,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Concerned Others Group,Recovery Republic 63 - 65 York Street Heywood,"Heywood, Middleton & Rochdale",01706 622 722,,,,,1st Mon  each month 5.45 til 7.15pm,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Concerned Others Group,"United Reform Church Victoria Street, Littleborough","Heywood, Middleton & Rochdale",01706 370 122,,,,,2nd Mon each month 5.30 til 7pm,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Concerned Others Group,"Burnside Community Centre, Burnside Crescent, Langley, Middleton",Middleton,0161 643 5775,,,,,3rd Mon each month 5.30 til 7pm,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Early Break 4U18,Rochdale ( Bury Admin Office ),"Heywood, Middleton & Rochdale",0161 723 3880,www.earlybreak.co.uk,,,For under 21s,,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Pathways via Big Life,13 St Chads Crt School Ln Rochdale,"Heywood, Middleton & Rochdale",01706 676 500,www.thebiglifegroup.com,,,Also 01706 924 883  &  www.penninecare.nhs.uk,,,,,,,,,,,
add,drug,,Drugs and Alocohol Misuse,Rochdale Council,Champmess Hall Drake St Rochda;e,"Heywood, Middleton & Rochdale",01706 924 883,www.rochdale.gov.uk,,,,"11 til 11pm,  1st Wed, each month",,,,,,,,,,
add,money,,Gambling Problems,Gamblers Anonymous,"Friends Meeting House, Mount St. Manchester","Heywood, Middleton & Rochdale",0161 976 5000,www.gamblersanonymous.org.uk,,,Also in Bury and Oldham.       Online chatroom service,,,,,,,,,,,
add,drug,,Needle Exchange Services,Stay Safe,11 - 14 St Chads Crt  Church Ln  Rochdale,"Heywood, Middleton & Rochdale",01706 676 518,www.rochdale.gov.uk,,,,9 - 4.30 Mon - Fri,,,,,,,,,,
add,drug,,Needle Exchange Services,Lloyds Pharmacy,?????,"Heywood, Middleton & Rochdale",,,,,,,,,,,,,,,,
add,drug,,Needle Exchange Services,Rowland Pharmacy,"3A Lakeland Court, Langley, Middleton","Heywood, Middleton & Rochdale",0161 643 5454,www.rowlandspharmacy.co.uk,,,,Mon - Fri & Sat morning,,,,,,,,,,
add,drug,,Needle Exchange Services,Strand Pharmacy,29 The Strand Kirkholt Rochdale,"Heywood, Middleton & Rochdale",01706 649 874,,,,,,,,,,,,,,,
add,drug,,Needle Exchange Services,,?????,"Heywood, Middleton & Rochdale",,,,,,,,,,,,,,,,
add,smo,,No Smoking / quit,Rochdale Council,"Number One, Riverside, Smith St  Rochdale","Heywood, Middleton, Rochdale",01706 751 190,www.rochdale.gov.uk/smoking,,,Contact Ve Nutter on 01706 924 187,,,,,,,,,Citezens Advice Bureau,,
add,drug,,Recovery and Reintegration Service,Recovery Hub,,"Heywood, Middleton & Rochdale",,,,,,,,,,,,,23 = Dental Service,,,
add,drug,,Recovery Care,Pathways,,"Heywood, Middleton & Rochdale",,,,,,,,,,,,,25 = Diabetes,,,
add,drug,,Recovery from drug and alcohol abuse,Recovery Hub,,"Heywood, Middleton & Rochdale",,,,,,,,,,,,,28 = Drug & Alcohol Problems,,,
add,smo,,Stop Smoking for pregnant women,Community Midwife,,"Heywood, Middleton, Rochdale",01706 517 223,https://rochdale.fsd.org.uk/,,zoe.dearden@pat.nhs.uk,Call Zoe Dearden,,,,,,,,,28 =   Under 21s Drug & Alcohol help,,
add,smo,,Stop Smoking for pregnant women,Living Well supported by others,"Big Life,  Lock 50, Oldham Road, Rochdale","Heywood, Middleton, Rochdale",01706 751 190,www.rochdale.gov.uk/health_and_wellbeing.aspx,,,,,,,,,,,,Needle Exchange,,
add,smo,,Stop Smoking Service,Big Life / Living Well for Rochdale Council,"Big Life,  Lock 50, Oldham Road, Rochdale","Heywood, Middleton, Rochdale",01706 751 190,www.rochdale.gov.uk/health_and_wellbeing.aspx,,www.rochdale.gov.uk/health_and_wellbeing.aspx,Contact Ve Nutter on 01706 924 187,,,,,,,,30 = Epilepsy,,,
adult,help,,Befriending Service,Alziemer's Society,"585 - 591, Oldham Road, Rochdale","Heywood, Middleton, Rochdale",01706 341 803,www.alzheimers.org.uk,,stockport@alzheimers.org.uk,Also 07718 113 415 or 01706 752 838,,,,,,,,31 = Eye Problems,,,
adult,,,Bereavement,Rochdale MIND,83 Yorkshire Street Rochdale,"Heywood, Middleton, Rochdale",01706 861 598,www.mind.org,,,,,,,,,,,,Mobile eye test service,,
adult,lgbt,,Bereavement,Lesbian & Gay Bereavement Project,London,Naitonwide,0208 455 8894,,,,Lesbian / Gay Community,,,,,,,,,35 = Myeloma,,
adult,,,Bereavement,Dying Matters,,Naitonwide,08000 21 44 66,www.dyingmatters.org,,,Online enquiry form,,,,,,,,34 = Jobseekers help,,,
adult,child,,Bullying,Bullying UK,,Naitonwide,0808 800 2222,www.bullying.co.uk,@bullyinguk    on Twitter,,Mostly for children within a chatline available,,,,,,,,E = Emergency Services,,,
Adult,lgbt,,"Lesbian, Gay, Bisexual Transgender",LGBT Foundation,5 Richmond Street Manchester,Naitonwide,0345 330 3030,www.lgbt.foundation,,info@lgbt.foundation,Call in at Richmond St.  Mon - Fri   10 til 6pm,Phone Mon _ Fri  10 til 10,,,,,,,,Police,,
Adult,,,Pathways 1 - 2 - 1,Burnside Community Centre,"Burnside Crescent, Langley, Middleton",Middleton,0161 643 5775,www.burnsidecentre.org.uk,,burnsidecentre@btconnect.com,,,,,,,,,,Ambulance,,
advice,help,,COPD,NHS Choices,,Naitonwide,111,www.nhs.uk,,,SEE YOUR GP first. A to Z online informations via the NHS,,,,,,,,,,,
advice,help,,COPD,Web MD via Boots,SEE YOUR GP first.  Boots Middleton Shopping Centre,Naitonwide,0161 643 2101,www.webmd.boots.com,,boots.customercareteam@boots.co.uk,,Mon - Fri 8.30 - 7pm / Sat 8.45 - 5pm,,,,,,,,,,
aut,help,,Autism,Autistic Society Greater Manchester,"1114, Chester Road, Stretford",Greater Manchester,0161 866 8483,asgma.org.uk,,admin@asgma.org.uk,,,,,,,,,,Fire and Rescue,,
aut,sign,,Autism,Rochdale Council,"Number One, Smith Street, Rochdale",Greater Manchester,01706 647 474,https://mycare.rochdale.gov.uk,,,Online Service Directory,,,,,,,,,Doctors,,
aut,,,Autism,Autism Support Group Rochdale,5 Shanftesbury Avenue Wardle Rochdale,Rochdale,01706 374 525,,,,,,,,,,,,G = GP Surgeries,,,
aut,,,Autism,Greater Manchester Autism Consortium,"Anglo House, Chapel Road, Northenden",Middleton,0161 998 4667,www.autismGM.org.uk ,,mari.saeki@nas.org.uk,,,,,,,,,,,,
aut,,,Autism,Greater Manchester Autism Consortium,"Anglo House, Chapel Road, Northenden",Middleton,0161 998 4667,www.autismGM.org.uk ,,Barbara.whilliams@nas.org.uk,,,,,,,,,,Services,,
aut,,,Autism & Aspergers,Netmums,"Anglo House, Chapel Road, Northenden",Greater Manchester,0161 998 4667,www.netmums.com ,,Barbara.whilliams@nas.org.uk,Chatline online or fill out their email form online,,,,,,,,,,,
café,,,Café,CommuniTea Café,234 Yorkshire St  Rochdale,Rochdale,01706 550630,http://communiteacic.wix.com/ccic,,,,,,,,,,,,,,
café,,,Café,Compleat Café,"Unit 5-9 Midway House, Middleton",Middleton,0161 653 5278,,,,,"Opens 10.00am till 3.00pm Monday, Tuesday, Thursday and Friday",,,,,,,,,,
café,,,Café,Burnside Community Centre,"Burnside Crescent, Langley, Middleton",Middleton,0161 643 5775,www.burnsidecentre.org.uk,,burnsidecentre@btconnect.com,,Fri 9.30 til 12 noon,,,,,,,,Extra Hours evening and weekends,,
can,bow,CANCERS,Bowel Cancer,Always talk to your GP first,,Naitonwide,,www.bowelcanceruk.org.uk,,,,,,,,,,,,,,
can,bow,CANCERS,Bowel Cancer,Bowel Cancer UK,,"Heywood, Middleton & Rochdale",0207 940 1760,www.bowelcanceruk.org.uk,,,Also numbers for other agencies.  Online service,,,,,,,,,,,
can,bre,CANCERS,Breast Screening Unit,Wythenshawe Hospital,Nightingale Centre Southmoor Road,Greater Manchester,0161 291 4444,https://www.uhsm.nhs.uk/services/specialist/breast-services/screening/,,,,,,,,,,,,,,
can,ova,CANCERS,Ovarian Cancer,Ovarian,,Naitonwide,0207 380 1730 ,www.ovarian.org.uk,,info@ovarioan.org.uk,Cancer Charity,,,,,,,,,,,
can,bow,,Bowel Cancer,NHS Choices,Ashton-under-Lyne,"Heywood, Middleton & Rochdale",0161 716 3000,"www.nhs,uk",,,,,,,,,,,,Emergency doctors,,
can,bow,,Bowel Cancer,NHS Choices,Salford,"Heywood, Middleton & Rochdale",0161 789 7373,"www.nhs,uk",,,Online Service,,,,,,,,,A & E,,
can,bre,,Breast Screening,Government advice,,Naitonwide,111,https://www.gov.uk/government/collections/breast-screening-professional-guidance,,,ONLINE advice and on www.gov.uk,,,,,,,,,Urgent Care,,
can,bre,,Breast Screening,HMR CCG,"Number One Riverside, Smith Street, Rochdale","Heywood, Middleton & Rochdale",01706 652 853,https://www.hmr.nhs.uk/index.php/your-health/breast-screening,,,ONLINE ADVICE,,,,,,,,,Hospice care / End of Life,,
can,bre,,Breast Screening,NHS Choices,,Naitonwide,111,http://www.nhs.uk/conditions/breast-cancer-screening/Pages/Introduction.aspx,,,ONLINE advice and on www.gov.uk,,,,,,,,,,,
can,bre,,Breast Screening Campaigning,Demesne Community Centre,Asby Drive Langley Middleton,Middleton,0161 653 2902,http://demesnecommunitycentre.org.uk/breast-screening/,,,,,,,,,,,L = Clinic Services,,,
can,bre,,Breast Screening Unit,Royal Bolton Hospital,Minerva Road Bolton,"Heywood, Middleton & Rochdale",01204 390 397,http://www.boltonft.nhs.uk/services/breast-unit/information/services-offered/breast-screening/,,,,,,,,,,,P = Chemists,,,
can,ova,,Ovarian Cancer,OCAM,,Nationwide,Online,http://ocam.org.uk/further-resources,,,Online advice service,,,,,,,,S = Signposting / Directories,,,
can,ova,,Ovarian Cancer,Ovacome,,Nationwide,0800 008 7054,www.ovacome.org.uk,,,Cancer Charity,,,,,,,,SP = Sport,,,
can,pro,,Prostate Cancer,SEE your GP,,,,,,,,,,,,,,,,26 = Fitness and Sport,,
child,,,0 - 16 Phlebotomy for children,GP Care Services Ltd,"Healey Suite, Rochdale Infirmary, Whitehall Street, Rochdale",Heywood Middleton & Rochdale,01706 906 940,http://www.gpcareservices.co.uk,01706 261 868,gpcare.services@nhs.net,or  01706 906 940,,,,,,,,SU = Support Services,,,
child,,,0 - 16 support for children,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,01706 676 333,www.penninecare/nhs.net,www.nhs.uk,,or  01706 676 338,,,,,,,,,,,
child,,,1 - 5 child support for parents,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,0161 716 5918,www.penninecare/nhs.net,www.nhs.uk,pcn-tr.rochdaleboroughFNPcorrespondence@nhs.net,,,,,,,,,T = Transport Services,,,
child,,,1 - 5 Health visits,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,0161 716 5970,www.penninecare/nhs.net,www.nhs.uk,,,,,,,,,,,Buses,TfGM,
child,,,1 - 5 Infant Feeding,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,0161 716 5970,www.penninecare/nhs.net,www.nhs.uk,,,,,,,,,,,,,
child,,,11 - 19 Health Help,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,07507 330 382,Text service only.,,Text service only.,Text service.Help & advice using Rochdale School Nursing service,Mon - Fri  9 - 4.30,,,,,,,,Trains,TfGM / Virgin / Cross Country / Arriva Wales,
child,,,12 - 17 Boxing & Fitness,People's Gym Heywood,"Doorstep Sports Centre,  Heywood",Heywood Middleton & Rochdale,07907 056 211,,,,Contact Kieran Farrell,,,,,,,,,,Northern / TransPennine Express,
child,,,12 - 17 Doorstep Sports Club,Link4Life & Rochdale Youth Service,Heywood Sports Village,Heywood Middleton & Rochdale,07527 385 767,http://link4life.org/,,,Contact Diane Higgins,Fri Nights,,,,,,,,,,
child,,,12 - 17 Listen Up Project,Rochdale & District MIND,Mind & Wellbeing 3 - 11 Drake St,Heywood Middleton & Rochdale,01706 752 341,,,info@rochdalemind.org.uk,,,,,,,,,,Trams,Metrolink,
child,Social,,12 - 17 Middleton Us Girls Dance,CH Dance,,,07710 745 702,,,carrie@chdance.com,,,,,,,,,,Blue Badges,,Rochdale Council
child,sex,,12 - 17 Sexual health & contraception,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,01706 676 460,www.penninecare/nhs.net,www.nhs.uk,,,,,,,,,,,Bus Passes,,TfGM
child,sex,,12 - 17 Sexual health & support,Living Well,"Big Life,  Lock 50, Oldham Road, Rochdale",Heywood Middleton & Rochdale,01706 751 190,,,livingwellhmr@biglifecentres.com,,,,,,,,,,,,
child,sex,,12 - 17 Sexual health & support,Pennine Care NHS Foundation Trust,"Pheonix Centre,  Heywood ",Heywood Middleton & Rochdale,01706 261 954,,,,,M - F   9 - 4,,,,,,,,,,
child,mental,,14 - 16 Emotional help & Mental Help,Pennine Care NHS Foundation Trust / HYPE,"Croft Shifa Health Centre, Belfield Road, Rochdale",Heywood Middleton & Rochdale,01706 261 883,,,,"14 -16 with emotional problems, Advice tor their parents / Carers",01706 764 764,,,,,,,,,,
child,sport,,16 - 25 Discount off peak gym membership,Link4life,"Number One, Riverside Smith Street,  Rochdale",Heywood Middleton & Rochdale,07976 496 615,http://link4life.org/,,getactive@link4life.org,Contact Scott Hardy,,,,,,,,,Ring and Ride,,
child,help,,16 + Healthy Minds,Pennine Care NHS Foundation Trust,"225, Old Street, Ashton Under Lyne",Heywood Middleton & Rochdale,01706 261 940,healthyminds.penninecare.nhs.uk,,,Depression / stress etc / Treatment & Support,,,,,,,,,,,
